loss,mae,val_loss,val_mae
0.1248718798160553,0.24432681500911713,0.09193093329668045,0.21878454089164734
0.05995743349194527,0.1770552694797516,0.08475823700428009,0.19734834134578705
0.04239558055996895,0.15869291126728058,0.07808037102222443,0.18513375520706177
0.0386674702167511,0.15002931654453278,0.08345392346382141,0.18827897310256958
0.0407399907708168,0.1526530534029007,0.08491527289152145,0.1903933733701706
0.03736672177910805,0.14538148045539856,0.082563117146492,0.1863933950662613
0.033518292009830475,0.14228427410125732,0.08009195327758789,0.18274007737636566
0.03203221410512924,0.14007042348384857,0.08045053482055664,0.18394464254379272
0.03352423012256622,0.14030160009860992,0.07701322436332703,0.1799750030040741
0.030498379841446877,0.1385241597890854,0.07891088724136353,0.18371707201004028
0.030473800376057625,0.13706675171852112,0.07878914475440979,0.18361686170101166
0.03033618815243244,0.13731738924980164,0.08121601492166519,0.18488766252994537
0.031108422204852104,0.13634221255779266,0.0783696100115776,0.18058203160762787
0.028942164033651352,0.13398343324661255,0.07934175431728363,0.1827070713043213
0.03077126294374466,0.13716953992843628,0.08131111413240433,0.18430623412132263
0.030728131532669067,0.1353832185268402,0.07923221588134766,0.18189376592636108
0.03143678605556488,0.13732869923114777,0.0780465304851532,0.17875966429710388
0.029813652858138084,0.13498161733150482,0.07854579389095306,0.17912527918815613
0.029095852747559547,0.13301053643226624,0.08292855322360992,0.18362388014793396
0.028781084343791008,0.1324687898159027,0.08782748878002167,0.18871013820171356
0.030835341662168503,0.1354168802499771,0.07970767468214035,0.18305900692939758
0.028378788381814957,0.13216668367385864,0.07986743748188019,0.18360641598701477
0.030392639338970184,0.13455168902873993,0.0803338959813118,0.1843186318874359
0.03035442717373371,0.1323634386062622,0.07936573773622513,0.1823866218328476
0.02884439378976822,0.13147152960300446,0.07897812128067017,0.18172690272331238
0.028961777687072754,0.13355621695518494,0.08240995556116104,0.18584568798542023
0.028357917442917824,0.13093554973602295,0.07984492927789688,0.18244695663452148
0.029484979808330536,0.13139614462852478,0.08060256391763687,0.18413273990154266
0.029285980388522148,0.13107945024967194,0.08058811724185944,0.18413741886615753
