Date,close
1984-09-07,1.29356
1984-09-10,1.28629
1984-09-11,1.31466
1984-09-12,1.31466
1984-09-13,1.30053
1984-09-14,1.30053
1984-09-17,1.27186
1984-09-18,1.25783
1984-09-19,1.25783
1984-09-20,1.25106
1984-09-21,1.28629
1984-09-24,1.28629
1984-09-25,1.29356
1984-09-26,1.27933
1984-09-27,1.29356
1984-09-28,1.3074
1984-10-01,1.29356
1984-10-02,1.28629
1984-10-03,1.28629
1984-10-04,1.28629
1984-10-05,1.28629
1984-10-08,1.24399
1984-10-09,1.24399
1984-10-10,1.26529
1984-10-11,1.29356
1984-10-12,1.32889
1984-10-15,1.32143
1984-10-16,1.32889
1984-10-17,1.32143
1984-10-18,1.34303
1984-10-19,1.35696
1984-10-22,1.34303
1984-10-23,1.33557
1984-10-24,1.33557
1984-10-25,1.36393
1984-10-26,1.33557
1984-10-29,1.33557
1984-10-30,1.31466
1984-10-31,1.32889
1984-11-01,1.37081
1984-11-02,1.35696
1984-11-05,1.3499
1984-11-06,1.36393
1984-11-07,1.38514
1984-11-08,1.37827
1984-11-09,1.35696
1984-11-12,1.3499
1984-11-13,1.34303
1984-11-14,1.33557
1984-11-15,1.32889
1984-11-16,1.32889
1984-11-19,1.32143
1984-11-20,1.32143
1984-11-21,1.29356
1984-11-23,1.29356
1984-11-26,1.27933
1984-11-27,1.27186
1984-11-28,1.28629
1984-11-29,1.28629
1984-11-30,1.26529
1984-12-03,1.26529
1984-12-04,1.24399
1984-12-05,1.25783
1984-12-06,1.25783
1984-12-07,1.27186
1984-12-10,1.31466
1984-12-11,1.32889
1984-12-12,1.33557
1984-12-13,1.3499
1984-12-14,1.34303
1984-12-17,1.3499
1984-12-18,1.34303
1984-12-19,1.31466
1984-12-20,1.3074
1984-12-21,1.3074
1984-12-24,1.32889
1984-12-26,1.34303
1984-12-27,1.35696
1984-12-28,1.34303
1984-12-31,1.37081
1985-01-02,1.39927
1985-01-03,1.33557
1985-01-04,1.3074
1985-01-07,1.32889
1985-01-08,1.32889
1985-01-09,1.31466
1985-01-10,1.32889
1985-01-11,1.32889
1985-01-14,1.35696
1985-01-15,1.44177
1985-01-16,1.47672
1985-01-17,1.45591
1985-01-18,1.49821
1985-01-21,1.49821
1985-01-22,1.49821
1985-01-23,1.48437
1985-01-24,1.47672
1985-01-25,1.39927
1985-01-28,1.3923
1985-01-29,1.42734
1985-01-30,1.48437
1985-01-31,1.49105
1985-02-01,1.47672
1985-02-04,1.49105
1985-02-05,1.46297
1985-02-06,1.47672
1985-02-07,1.48437
1985-02-08,1.49105
1985-02-11,1.44883
1985-02-12,1.44883
1985-02-13,1.44883
1985-02-14,1.45591
1985-02-15,1.44883
1985-02-19,1.46297
1985-02-20,1.46297
1985-02-21,1.47672
1985-02-22,1.46297
1985-02-25,1.44883
1985-02-26,1.49105
1985-02-27,1.49821
1985-02-28,1.49821
1985-03-01,1.49821
1985-03-04,1.47024
1985-03-05,1.47024
1985-03-06,1.42096
1985-03-07,1.40633
1985-03-08,1.39927
1985-03-11,1.39927
1985-03-12,1.40633
1985-03-13,1.40633
1985-03-14,1.42734
1985-03-15,1.42096
1985-03-18,1.42734
1985-03-19,1.42734
1985-03-20,1.42734
1985-03-21,1.47024
1985-03-22,1.49821
1985-03-25,1.49821
1985-03-26,1.49105
1985-03-27,1.46297
1985-03-28,1.48437
1985-03-29,1.49105
1985-04-01,1.49821
1985-04-02,1.51244
1985-04-03,1.5198
1985-04-04,1.51244
1985-04-08,1.5198
1985-04-09,1.61128
1985-04-10,1.59038
1985-04-11,1.61128
1985-04-12,1.62541
1985-04-15,1.60431
1985-04-16,1.61128
1985-04-17,1.59038
1985-04-18,1.59714
1985-04-19,1.60431
1985-04-22,1.59038
1985-04-23,1.57595
1985-04-24,1.55494
1985-04-25,1.54768
1985-04-26,1.56181
1985-04-29,1.57595
1985-04-30,1.57595
1985-05-01,1.56897
1985-05-02,1.54768
1985-05-03,1.54071
1985-05-06,1.53383
1985-05-07,1.59714
1985-05-08,1.59038
1985-05-09,1.56897
1985-05-10,1.54071
1985-05-13,1.54071
1985-05-14,1.56181
1985-05-15,1.56897
1985-05-16,1.60431
1985-05-17,1.68902
1985-05-20,1.67498
1985-05-21,1.70345
1985-05-22,1.70345
1985-05-23,1.71748
1985-05-24,1.70345
1985-05-28,1.72436
1985-05-29,1.71748
1985-05-30,1.74575
1985-05-31,1.77411
1985-06-03,1.77411
1985-06-04,1.77411
1985-06-05,1.75988
1985-06-06,1.75272
1985-06-07,1.77411
1985-06-10,1.78815
1985-06-11,1.79492
1985-06-12,1.78079
1985-06-13,1.74575
1985-06-14,1.77411
1985-06-17,1.77411
1985-06-18,1.76666
1985-06-19,1.76666
1985-06-20,1.78079
1985-06-21,1.78815
1985-06-24,1.78815
1985-06-25,1.83026
1985-06-26,1.84459
1985-06-27,1.887
1985-06-28,1.92214
1985-07-01,1.96473
1985-07-02,1.89416
1985-07-03,1.81632
1985-07-05,1.81632
1985-07-08,1.84459
1985-07-09,1.85176
1985-07-10,1.83026
1985-07-11,1.83772
1985-07-12,1.85863
1985-07-15,1.92214
1985-07-16,1.91536
1985-07-17,1.89416
1985-07-18,1.86609
1985-07-19,1.85863
1985-07-22,1.84459
1985-07-23,1.87982
1985-07-24,1.87276
1985-07-25,1.85176
1985-07-26,1.85176
1985-07-29,1.80896
1985-07-30,1.78815
1985-07-31,1.82329
1985-08-01,1.83772
1985-08-02,1.84459
1985-08-05,1.83026
1985-08-06,1.79492
1985-08-07,1.79492
1985-08-08,1.81632
1985-08-09,1.79492
