Date,close
2005-06-21,14.66
2005-06-22,14.15
2005-06-23,14.16
2005-06-24,14.07
2005-06-27,13.93
2005-06-28,14.65
2005-06-29,14.69
2005-06-30,14.85
2005-07-01,14.88
2005-07-05,14.71
2005-07-06,14.49
2005-07-07,14.66
2005-07-08,14.85
2005-07-11,14.89
2005-07-12,14.97
2005-07-13,14.95
2005-07-14,14.84
2005-07-15,14.87
2005-07-18,14.95
2005-07-19,14.9
2005-07-20,15.22
2005-07-21,15.15
2005-07-22,15.21
2005-07-25,15.22
2005-07-26,16.4
2005-07-27,17.27
2005-07-28,18.49
2005-07-29,18.33
2005-08-01,18.18
2005-08-02,18.12
2005-08-03,17.93
2005-08-04,18.16
2005-08-05,17.98
2005-08-08,16.99
2005-08-09,17.4
2005-08-10,17.49
2005-08-11,17.32
2005-08-12,16.93
2005-08-15,17.58
2005-08-16,17.59
2005-08-17,17.33
2005-08-18,17.83
2005-08-19,17.82
2005-08-22,17.74
2005-08-23,17.66
2005-08-24,17.71
2005-08-25,17.28
2005-08-26,16.72
2005-08-29,17.3
2005-08-30,17.22
2005-08-31,18.6
2005-09-01,19.76
2005-09-02,20.16
2005-09-06,20.48
2005-09-07,19.77
2005-09-08,19.28
2005-09-09,19.5
2005-09-12,18.97
2005-09-13,18.81
2005-09-14,19.15
2005-09-15,19.87
2005-09-16,20.01
2005-09-19,20.3
2005-09-20,20.0
2005-09-21,19.67
2005-09-22,20.62
2005-09-23,20.52
2005-09-26,21.06
2005-09-27,20.58
2005-09-28,20.89
2005-09-29,20.69
2005-09-30,20.46
2005-10-03,21.11
2005-10-04,21.4
2005-10-05,20.3
2005-10-06,19.41
2005-10-07,19.81
2005-10-10,19.38
2005-10-11,18.78
2005-10-12,17.52
2005-10-13,17.48
2005-10-14,17.79
2005-10-17,18.42
2005-10-18,18.08
2005-10-19,18.67
2005-10-20,17.9
2005-10-21,18.99
2005-10-24,19.06
2005-10-25,19.7
2005-10-26,19.68
2005-10-27,17.93
2005-10-28,17.87
2005-10-31,17.92
2005-11-01,17.93
2005-11-02,18.22
2005-11-03,18.09
2005-11-04,17.68
2005-11-07,17.33
2005-11-08,16.37
2005-11-09,16.5
2005-11-10,16.69
2005-11-11,17.14
2005-11-14,17.09
2005-11-15,16.99
2005-11-16,16.58
2005-11-17,16.84
2005-11-18,17.71
2005-11-21,17.51
2005-11-22,18.19
2005-11-23,18.38
2005-11-25,18.31
2005-11-28,18.46
2005-11-29,18.15
2005-11-30,18.24
2005-12-01,18.71
2005-12-02,17.77
2005-12-05,17.77
2005-12-06,17.63
2005-12-07,17.21
2005-12-08,17.39
2005-12-09,17.86
2005-12-12,18.06
2005-12-13,18.48
2005-12-14,19.2
2005-12-15,19.44
2005-12-16,20.22
2005-12-19,20.08
2005-12-20,19.96
2005-12-21,20.19
2005-12-22,20.07
2005-12-23,19.84
2005-12-27,19.2
2005-12-28,19.22
2005-12-29,19.03
2005-12-30,19.58
2006-01-03,20.09
2006-01-04,20.1
2006-01-05,19.91
2006-01-06,20.03
2006-01-09,20.14
2006-01-10,20.44
2006-01-11,21.42
2006-01-12,21.19
2006-01-13,21.49
2006-01-17,21.61
2006-01-18,21.45
2006-01-19,21.4
2006-01-20,21.03
2006-01-23,21.19
2006-01-24,21.44
2006-01-25,21.89
2006-01-26,22.73
2006-01-27,22.36
2006-01-30,22.9
2006-01-31,22.95
2006-02-01,23.42
2006-02-02,23.56
2006-02-03,23.18
2006-02-06,23.64
2006-02-07,21.85
2006-02-08,22.81
2006-02-09,23.26
2006-02-10,22.71
2006-02-13,21.88
2006-02-14,22.09
2006-02-15,22.36
2006-02-16,22.5
