,CAGR,Volatility,Sortino,Max Drawdown,Worst 12M Return,Pct Negative Months,Pct Large Losses (>10%),Simple Alpha,CAPM Alpha,Final Value
S&P 500 (Equal Weight),0.13082922712479528,0.13614331654252276,1.106499552136077,-0.21289831322151218,-0.11295671216563585,31.216931216931215,0.5291005291005291,0.018736095818800903,0.026087572951237613,8.311090597223144
Value + ML (Yahoo),0.13764590550496542,0.1737518471124443,0.9626691752412386,-0.251607692398441,-0.16064331998357717,36.17021276595745,2.127659574468085,0.019736667478013375,0.019911158679799125,2.8655014966311847
Random (Avg),0.09183664865103845,0.1360480766435474,0.7097625015903655,-0.2225469993100882,-0.14525272530927102,35.44973544973545,1.0582010582010581,-0.020256482654955908,-0.012893669864087902,4.493848630154642
Value + ML (SEC),0.09537338805578525,0.18147274245460981,0.6353027739225356,-0.2503192119723783,-0.1686136170479684,44.680851063829785,2.127659574468085,-0.02253584997116675,-0.015663554425229122,2.1125758300008646
Value (Yahoo Rules),0.08126308109848412,0.1630239593691032,0.44776005876451724,-0.3545316928430042,-0.28879387471488505,37.03703703703704,2.1164021164021163,-0.030830050207510222,-0.023788190743397598,3.7649321477260815
