,VALUE_Q1,GROWTH_Q10,MARKET_EW
2015-09-01,0.9854467425668874,1.0165585494500293,0.9864798894217001
2015-10-01,1.0302044511945476,1.1203718100560152,1.0708247492621896
2015-11-01,1.0107068873538039,1.2118213540114147,1.0868462362835303
2015-12-01,1.0020309439110162,1.2986941068955515,1.0780412319961579
2016-01-01,1.0206479452225212,1.1337953077316036,1.0176080022702438
2016-02-01,1.0673326374838341,1.1261841536784138,1.0082015561590498
2016-03-01,1.1311825263293753,1.316828716435462,1.0865837421345064
2016-04-01,1.112480136450519,1.351026563191875,1.1010830337572126
2016-05-01,1.090570858558213,1.4914975353925786,1.117545405590074
2016-06-01,1.1518012279897143,1.518093759430983,1.1233376007622156
2016-07-01,1.174503063898364,1.7402405705849526,1.1712992589603184
2016-08-01,1.1411756305414027,1.7620300843988332,1.173636431727183
2016-09-01,1.1294704958749515,1.7483589347159576,1.1710041865741292
2016-10-01,1.0749484854641222,1.7770056661762543,1.16815717818964
2016-11-01,1.1734125055818476,1.9584265049527574,1.2262848402612536
2016-12-01,1.205025164581254,2.1967357061590174,1.2642004035308436
2017-01-01,1.1791850852071821,2.2334581681047263,1.287131289306211
2017-02-01,1.1727578298159356,2.345567814436046,1.3360323048634526
2017-03-01,1.1493429806733273,2.4551010845080703,1.3434388933631274
2017-04-01,1.1350383361781637,2.454520118837902,1.3619802723720345
2017-05-01,1.1508341132268478,2.5533326921093065,1.3783747982345649
2017-06-01,1.1165736302772347,2.6307050861662358,1.384783982475584
2017-07-01,1.1783207936415447,2.684218185152314,1.4276264085035861
2017-08-01,1.173899381483146,2.7260125197765586,1.4267558446138093
2017-09-01,1.203368437640678,2.7145680725607453,1.4621152108949638
2017-10-01,1.149059701399331,2.664627198151268,1.4966713350526872
2017-11-01,1.2102235274097555,2.5624725734091722,1.5353832294513943
2017-12-01,1.283259004392375,2.5060464425057436,1.5717797048339097
2018-01-01,1.3529658678110275,2.8793571503637168,1.696277751570452
2018-02-01,1.2702622443028164,2.6989406083311955,1.618240428519227
2018-03-01,1.2236931918586538,2.4209491591205485,1.5646670413064148
2018-04-01,1.1936373265264084,2.528072151321036,1.5815827836938539
2018-05-01,1.1880335658647205,2.723074434498877,1.6230430895324262
